==================================================
Flight started: 2026-08-24 22:14:19
==================================================
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [BAT] Percentage: 100, Voltage: 16.20V
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.05m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.05m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.05m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.05m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.05m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.05m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.05m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.05m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.05m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.05m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.05m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.07m
22:14:23 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.06m
