==================================================
Flight started: 2026-08-25 14:26:20
==================================================
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.49m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.49m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.49m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.49m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.49m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.49m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.49m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.49m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.49m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.49m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.49m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.50m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.50m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.50m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.50m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.50m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.50m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.50m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.50m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.50m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.51m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.51m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.51m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.51m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.51m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.51m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.51m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.51m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.51m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.51m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.52m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.52m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.52m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.52m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.52m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.52m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.53m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.53m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.53m
14:26:24 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.53m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.00m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.00m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.00m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.01m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.01m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.01m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.01m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.01m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.02m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.02m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.02m
14:26:25 [PROG] Armed
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.00m
14:26:25 [PROG] Mission started
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.00m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.01m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.01m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.01m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.01m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.01m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.02m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.02m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.02m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.02m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.02m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.03m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.03m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.03m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.03m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.03m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.03m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.03m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.03m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.04m
14:26:25 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [BAT] Percentage: 99, Voltage: 16.19V
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546163, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.05m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.06m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.00m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.00m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.00m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.00m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.00m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.00m
14:26:26 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.00m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.00m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.00m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.00m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.00m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: 0.00m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: 0.00m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: 0.00m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: 0.00m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: 0.00m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397972, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.02m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.02m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.02m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546164, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.01m
14:26:27 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.01m
14:26:28 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.01m
14:26:28 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.01m
14:26:28 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.01m
